video_id,title,publishedAt,viewCount,likeCount
fYnUQJ2d67Q,Python Machine Learning Tutorial | Handling Missing Data | Databytes,2022-05-19T18:00:41Z,492,24
22m5Z8On1JM,Kendrick Lamar Uses Deepfakes in new Music Video | The Weekly Roundup,2022-05-18T10:29:36Z,428,21
KNNG7mpIDdk,#85 Building Data Literacy at Starbucks (with Megan Brown),2022-05-16T14:21:34Z,372,8
Ss-00940YJs,Python In Your Browser With PyScript | The Weekly Roundup,2022-05-12T10:34:39Z,511,21
wIypzZvtkNI,"Working with Python Operators, Data Types & Variables | Databytes | Python Basic Tutorial",2022-05-11T17:06:07Z,410,14
lfqjQeKwNmI,Python Machine Learning Tutorial | Centering And Scaling | Databytes,2022-05-09T18:35:27Z,698,22
gDgcPv8JcIc,Musk Buys Twitter and AI in Ukraine | The Weekly Roundup,2022-05-05T17:45:09Z,400,22
EmvEHWpoe-o,#84 Building High-Impact Data Teams at Capital One (with Dan Kellet),2022-05-02T16:00:04Z,280,4
OTM1XVVwNPE,Blowing up fluid equations and r/place | The Weekly Roundup,2022-04-29T14:49:04Z,353,4
jU4z1D3Q8_k,Machine Learning at La Liga and DALL-E 2 | The Weekly Roundup,2022-04-25T15:44:08Z,520,17
gy0lT_dKCDo,DataCamp for Classrooms: How to create and share an assignment,2022-04-20T17:44:58Z,807,10
yQOADEkpa78,#83 Empowering the Modern Data Analyst (with Peter Fishman),2022-04-18T14:56:27Z,504,12
I9T_M4HFB2Q,#82 Successful Digital Transformation Puts People First (with Bhavin Patel),2022-04-04T12:44:03Z,497,3
H4u-sYs8G68,#81 The Gradual Process of Building a Data Strategy (with Vijay Yadav),2022-03-22T13:02:30Z,848,9
bpdOfnM1ta0,DataCamp Workspace Live Code-Along,2022-03-16T15:52:55Z,1450,27
7CBB-7tHuiA,#80 The Rise of Hybrid Jobs & the Future of Data Skills (with Matt Sigelman),2022-03-07T15:19:25Z,893,10
lTkgoDkH0fU,#79 Delivering Smarter Cities & Better Public Policy w/ Data (with Kaveh Vessali),2022-02-22T14:11:06Z,342,6
nPMr78M05wM,Black History and the Future of Data Science,2022-02-16T06:38:56Z,726,31
Weq9kwgIVSM,#78 How Data & Culture Unlock Digital Transformation (with Mai AlOwaish),2022-02-07T14:45:10Z,543,11
LlgrJY8kaxY,#77 Ace the Data Science Interview (with Nick Singh and Kevin Huo),2022-01-24T14:58:19Z,1924,27
4rVDNx8osG0,Live Code-Along: Building a Recommender System in R,2021-12-08T14:14:32Z,6226,110
HI2U1tORg4g,Cyber Monday Sale,2021-11-29T14:50:31Z,110623,12
Xc0A_mLaYQk,#76 Providing Financial Inclusion with Data Science (with Vishnu V Ram),2021-11-29T14:29:15Z,435,7
tFT3emeG3yQ,DataCamp Professional: Free 14-day trial,2021-11-19T15:00:45Z,1540,24
ODluDEexg9o,Chapter 1: How to Analyze Customer Churn,2021-11-18T20:26:58Z,1848,20
vZuObCbSRQg,Live Code Along: Machine Learning with XGBoost in Python,2021-11-16T19:50:19Z,3355,97
rlA-tO-5_Ns,#75 The Data Storytelling Skills Data Teams Need (with Andy Cotgreave),2021-11-15T14:31:31Z,663,15
7_VIjcFKHZo,Live code along: How a data science portfolio can help you land your dream job,2021-11-08T20:41:34Z,2291,69
zgxu4-FiYTI,#74 Harnessing the Power of Collaboration (with Brian Campbell),2021-11-01T14:17:54Z,339,4
XPsYB8xqLn4,#73 Scaling AI Adoption in Financial Services (with Shameek Kundu),2021-10-18T13:50:45Z,541,3
Hw7XXzvZtuE,Plotly graphs and figures,2021-10-12T13:29:47Z,1180,27
LUri5A2CGQ0,Help every employee improve their data skills,2021-10-11T17:37:40Z,310683,21
ZxkddEPbig0,Live Code Along - How to quickstart your data analysis,2021-10-04T18:59:53Z,2220,51
_GXSpij2-UE,#72 Building High Performing Data Teams (with Syafri Bahar),2021-10-04T12:56:05Z,457,12
AUvAdkDvvto,#71 Scaling Machine Learning Adoption: A Pragmatic Approach (with Noah Gift),2021-09-20T12:01:12Z,684,14
UEZQ33EdM5g,Close your team’s data skills gap,2021-09-07T17:26:00Z,1543572,26
zovL9eWunN8,#70 Beyond the Language Wars: R & Python for the Modern Data Scientist (Rick Scavetta/Boyan Angelov),2021-09-06T10:25:42Z,708,16
TFdfZ9W1sIM,Live Code-Along: Visualizations in Python,2021-08-31T17:59:06Z,2949,82
pXCzYg4YttI,#69 Effective Data Storytelling: How To Turn Insights Into Actions (with Brent Dykes),2021-08-23T12:54:47Z,1433,31
JXZnHcFIrFE,R in DataCamp Workspace and Building Data Products,2021-08-16T21:37:49Z,1306,28
HJgIp4_eHWU,#68 The Future of Responsible AI (with Maria Luciana Axente),2021-08-09T12:43:56Z,649,9
zLlw8_AV9Hc,Python Code Along - Data Analysis in DataCamp Workspace,2021-07-26T20:21:15Z,3774,83
eF_6FvtNqjA,#67 Operationalizing Machine Learning with MLOps (with Alessya Visnjic),2021-07-26T13:09:55Z,667,18
uVGyBqY7cLc,#66 The Path to Building Data Cultures (with Sudaman Thoppan Mohanchandralal),2021-07-12T12:51:50Z,713,9
pgHRhg0Gr78,#65 Preventing Fraud in eCommerce with Data Science (with Elad Cohen),2021-06-28T12:49:33Z,979,25
NBcZadoV4rk,#64 Creating Trust in Data with Data Observability (with Barr Moses),2021-06-14T12:39:51Z,662,12
wQlg8e18StI,How To Stand Out From the Crowd,2021-06-11T04:05:32Z,1762,68
llxcOyqsVjI,#63 The Past and Present of Data Science (with Sergey Fogelson),2021-05-31T12:36:08Z,933,30
dHY32OUeRf4,Grow your Tableau skills on DataCamp,2021-05-21T13:33:20Z,27920,24
SeehGwT4Upc,# 62 From Predictions to Decisions (with Dan Becker),2021-05-17T13:15:12Z,778,17
eBiM93jC4qg,#61 Creating Smart Cities with Data Science (with Amen Ra Mashariki),2021-05-03T12:15:34Z,841,21
75KN2vENEMQ,Panel: Changing Lives Around the World with DataCamp Donates,2021-03-27T05:21:24Z,1682,69
dqh_EV1R_VM,DataCamp Live Stream,2021-03-17T19:23:05Z,0,0
QXwaYh4Yt9Q,Better Way to Learn,2021-03-09T20:39:11Z,2197193,288
_KvQU4P-kuQ,Real Talk,2021-03-09T20:38:23Z,1972305,40
ph630gsKmZc,Recession Proof,2021-03-09T20:37:38Z,578441,22
CexYyrtIAjw,Learner Spotlight: My Journey from Cybersecurity Professional to Data Analyst [Testimonial],2021-02-18T17:14:06Z,1117,15
tWLw3GzfcbU,Learner Spotlight: How I Became a Data Analyst with DataCamp,2021-01-22T17:00:30Z,217990,54
r1gwpaaQWSI,Welcome to DataCamp for Business,2020-12-14T16:22:44Z,4139,39
DRDFtejKZs8,Introduction to SQL Server: Joining tables,2020-10-23T20:18:43Z,2476,31
VY6X27P2uAQ,Data Visualization in R: Adding text to plots,2020-10-23T19:07:51Z,1951,40
