films,shortFilms,tvShows,videoGames,parkAttractions,allies,enemies,_id,name,url
"['The Jungle Book', ""The Jungle Book: Mowgli's Story"", 'The Jungle Book (2016 film)']",[],['Jungle Cubs'],[],[],[],[],148,Akela,https://api.disneyapi.dev/characters/148
[],[],['DuckTales (2017 series)'],[],[],[],[],149,Akita,https://api.disneyapi.dev/characters/149
[],[],['Can You Teach My Alligator Manners?'],[],[],[],[],150,Al,https://api.disneyapi.dev/characters/150
[],[],['Aladdin (TV series)'],[],[],[],[],151,Al Muddy,https://api.disneyapi.dev/characters/151
[],[],['Aladdin (TV series)'],[],[],[],[],152,Al Muddy Sultan,https://api.disneyapi.dev/characters/152
['Elena and the Secret of Avalor'],[],['Elena of Avalor'],[],[],[],[],153,Alacazar,https://api.disneyapi.dev/characters/153
['Dinosaur'],[],[],"[""Disney's Dinosaur (video game)""]",['DINOSAUR'],[],[],154,Aladar,https://api.disneyapi.dev/characters/154
['Dinosaur'],[],[],[],[],[],[],155,Aladar's Mother,https://api.disneyapi.dev/characters/155
"['Aladdin (film)', 'The Return of Jafar', 'Aladdin and the King of Thieves', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'The Lion King 1½', 'Once Upon a Halloween', 'Descendants 2', 'Aladdin (2019 film)', 'Aladdin 2 (live-action film)']",[],"['Aladdin (TV series)', 'Hercules (TV series)', 'House of Mouse', 'A Poem Is...', 'Once Upon a Time']","['Aladdin (video game)', ""Disney's Aladdin Chess Adventures"", 'Aladdin Magic Carpet Racing', ""Disney's MathQuest With Aladdin"", ""Disney's ReadingQuest With Aladdin"", ""Disney's Aladdin in Nasira's Revenge"", 'Kingdom Hearts (series)', 'Disney Universe', 'Kinect Disneyland Adventures', 'Epic Mickey: Power of Illusion', 'Disney Magical World', 'Hidden Worlds', 'Disney Infinity (series)', 'Disney Villains Challenge', 'Disney Tsum Tsum (game)', 'Disney Crossy Road', 'Disney Emoji Blitz', 'Disney Magical Dice', 'Disney Magic Kingdoms', 'Disney Heroes: Battle Mode', 'Disney Getaway Blast', 'Disney Princess Majestic Quest', ""Disney Sorcerer's Arena"", 'w:c:justdance:Just Dance 2014', 'w:c:justdance:Just Dance Now', 'w:c:justdance:Just Dance Unlimited']","[""Mickey's PhilharMagic"", ""Mickey's Soundsational Parade"", ""It's a Small World"", 'World of Color', 'Fantasmic!', ""Mickey's Boo-to-You Halloween Parade"", ""Mickey's Once Upon a Christmastime Parade"", ""Aladdin's Royal Caravan"", 'A Christmas Fantasy Parade', 'Mickey and the Wondrous Book', 'Golden Fairytale Fanfare', 'Voyage to the Crystal Grotto', 'Happily Ever After (fireworks show)', 'Wishes', 'Remember... Dreams Come True']",[],[],156,Aladdin,https://api.disneyapi.dev/characters/156
['Freaky Friday (2003 film)'],[],[],[],[],[],[],157,Alan Coleman,https://api.disneyapi.dev/characters/157
['Robin Hood (film)'],[],"['House of Mouse', 'The Wonderful World of Mickey Mouse']",[],['Garden of the Twelve Friends'],[],[],158,Alan-A-Dale,https://api.disneyapi.dev/characters/158
['Mary Poppins (film)'],[],[],[],[],[],[],159,Uncle Albert,https://api.disneyapi.dev/characters/159
[],[],[],[],"['Jungle Cruise', 'Skipper Canteen']",[],[],160,Albert Awol,https://api.disneyapi.dev/characters/160
[],[],[],[],['Mystic Manor'],[],[],161,Albert the Monkey,https://api.disneyapi.dev/characters/161
[],[],[],[],"['Skipper Canteen', 'Jungle Cruise']",[],[],162,Alberta Falls,https://api.disneyapi.dev/characters/162
['Beverly Hills Chihuahua 2'],[],[],[],[],[],[],163,Alberto and Antonio,https://api.disneyapi.dev/characters/163
[],[],['W.I.T.C.H. (TV series)'],[],[],[],[],164,Alchemy,https://api.disneyapi.dev/characters/164
[],[],['DuckTales (2017 series)'],[],[],[],[],165,Aletheia,https://api.disneyapi.dev/characters/165
[],[],[],[],"[""Soarin'""]",[],[],166,Aletta,https://api.disneyapi.dev/characters/166
['The Little Mermaid II: Return to the Sea'],[],[],[],[],[],[],167,Alex,https://api.disneyapi.dev/characters/167
['Lemonade Mouth'],[],[],[],[],[],[],168,Alex,https://api.disneyapi.dev/characters/168
[],[],['The Mighty Ducks: Game Changers'],[],[],[],[],169,Alex Morrow,https://api.disneyapi.dev/characters/169
[],[],['Hercules (TV series)'],[],[],[],[],170,Alexander,https://api.disneyapi.dev/characters/170
[],[],['Big City Greens'],[],[],[],[],171,Alexander and Terry,https://api.disneyapi.dev/characters/171
[],[],[],['Disney Crossy Road'],['The Haunted Mansion (attraction)'],[],[],172,Alexander Nitrokoff,https://api.disneyapi.dev/characters/172
"['Beverly Hills Chihuahua 2', 'Beverly Hills Chihuahua 3: Viva la Fiesta']",[],[],[],[],[],[],173,Ali,https://api.disneyapi.dev/characters/173
"['Alice in Wonderland (1951 film)', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'Once Upon a Halloween', 'Ralph Breaks the Internet']",[],"['Walt Disney anthology series', 'The Mouse Factory', 'Adventures in Wonderland', 'House of Mouse', 'A Poem Is...', 'Once Upon a Time in Wonderland', 'Once Upon a Time', 'At Home With Olaf']","['Mickey Mousecapade', ""Disney's Villains' Revenge"", 'Alice in Wonderland (video game)', 'Kingdom Hearts (series)', 'Kinect Disneyland Adventures', 'Disney Magical World', 'Disney Infinity (series)', 'Disney Tsum Tsum (game)', 'Disney Emoji Blitz', 'Disney Magical Dice', 'Disney Magic Kingdoms', 'Disney Heroes: Battle Mode']","['Alice in Wonderland (Disneyland attraction)', ""Alice's Curious Labyrinth"", 'Mad Tea Party', 'Mickey Mouse Revue', ""Walt Disney's Parade of Dreams"", 'Fantasmic!', 'Main Street Electrical Parade', 'SpectroMagic', 'Celebrate a Dreams Come True Parade', 'Disney Stars and Motorcars Parade', ""Mickey's Boo-to-You Halloween Parade"", ""Mickey's Once Upon a Christmastime Parade"", 'Festival of Fantasy Parade', 'Parade of the Stars', 'Once Upon a Time (Tokyo Disneyland)', 'Happiness is Here Parade', 'Disney Stars on Parade', 'Dreaming Up!']",[],[],174,Alice,https://api.disneyapi.dev/characters/174
['Alice Comedies'],[],[],[],[],[],[],175,Alice,https://api.disneyapi.dev/characters/175
['Alice in Wonderland (1951 film)'],[],"['Once Upon a Time in Wonderland', 'Princess Academy']",[],[],[],[],176,Alice's Sister,https://api.disneyapi.dev/characters/176
"[""Rudyard Kipling's The Jungle Book""]",[],[],[],[],[],[],177,"Alice, Rose, and Margaret",https://api.disneyapi.dev/characters/177
['Chicken Little (film)'],[],[],[],[],[],[],178,Aliens,https://api.disneyapi.dev/characters/178
[],[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[],179,All Hands and Mr. Starfish,https://api.disneyapi.dev/characters/179
['The Story of Robin Hood and His Merrie Men'],[],[],[],[],[],[],180,Allan-a-Dale,https://api.disneyapi.dev/characters/180
[],[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[],181,Irwina Allen,https://api.disneyapi.dev/characters/181
['The Aristocats'],[],['House of Mouse'],[],[],[],[],182,Alley Cats,https://api.disneyapi.dev/characters/182
['Oliver & Company'],[],[],[],[],[],[],183,Alley Dogs,https://api.disneyapi.dev/characters/183
[],[],"[""Where's My Water?: Swampy's Underground Adventures""]","[""Where's My Water?""]",[],[],[],184,Allie,https://api.disneyapi.dev/characters/184
"[""I'll Be Home for Christmas""]",[],[],[],[],[],[],185,Allie Henderson,https://api.disneyapi.dev/characters/185
"['Fantasia', ""Mickey's Twice Upon a Christmas""]",[],['House of Mouse'],"['Fantasia (video game)', 'Disney Sports Football']",[],[],[],186,Alligators,https://api.disneyapi.dev/characters/186
['Hocus Pocus'],[],[],[],[],[],[],187,Allison,https://api.disneyapi.dev/characters/187
[],[],['Descendants: Wicked World'],[],[],[],[],188,Ally,https://api.disneyapi.dev/characters/188
[],[],['Doc McStuffins'],[],[],[],[],189,Alma,https://api.disneyapi.dev/characters/189
[],[],['Fillmore!'],[],[],[],[],190,Lorraine Almaden,https://api.disneyapi.dev/characters/190
[],[],['Fillmore!'],[],[],[],[],191,Mr. Almaden,https://api.disneyapi.dev/characters/191
[],[],['Elena of Avalor'],[],[],[],[],192,Prince Alonso,https://api.disneyapi.dev/characters/192
"['101 Dalmatians (1996 film)', '102 Dalmatians']",[],[],[],[],[],[],193,Alonzo,https://api.disneyapi.dev/characters/193
[],[],['The Proud Family'],[],[],[],[],194,The Altos,https://api.disneyapi.dev/characters/194
[],[],['Big City Greens'],[],[],[],[],195,Alucard Grigorian,https://api.disneyapi.dev/characters/195
[],[],['Wizards of Waverly Place'],[],[],[],[],196,Alucard Van Heusen,https://api.disneyapi.dev/characters/196
[],[],[],[],['Star Tours: The Adventures Continue'],[],[],197,Aly San San,https://api.disneyapi.dev/characters/197
[],[],['Aladdin (TV series)'],[],[],[],[],198,Amal,https://api.disneyapi.dev/characters/198
[],[],['Elena of Avalor'],[],[],[],[],199,Amara,https://api.disneyapi.dev/characters/199
[],[],['Big Hero 6: The Series'],[],[],[],[],200,Di Amara,https://api.disneyapi.dev/characters/200
[],[],['Big Hero 6: The Series'],[],[],[],[],201,Liv Amara,https://api.disneyapi.dev/characters/201
"['Sofia the First: Once Upon a Princess', 'Elena and the Secret of Avalor']",[],"['Sofia the First', 'Elena of Avalor']",[],[],[],[],202,Princess Amber,https://api.disneyapi.dev/characters/202
[],[],['Andi Mack'],[],[],[],[],203,Amber,https://api.disneyapi.dev/characters/203
"['The Robber Kitten', ""Mickey's Polo Team""]",[],[],[],[],[],[],204,Ambrose,https://api.disneyapi.dev/characters/204
[],[],['Kim Possible'],[],[],[],[],205,Amelia,https://api.disneyapi.dev/characters/205
['Treasure Planet'],[],[],"['Treasure Planet: Battle at Procyon', ""Disney Sorcerer's Arena"", 'Disney Heroes: Battle Mode']",[],[],[],206,Captain Amelia,https://api.disneyapi.dev/characters/206
[],[],[],[],[],[],[],207,Amelia Duckworth,https://api.disneyapi.dev/characters/207
[],[],['Doc McStuffins'],[],[],[],[],208,"Queen Amena, Sparkly Queen of the World",https://api.disneyapi.dev/characters/208
[],[],[],[],[],[],[],209,Amicus Arcane,https://api.disneyapi.dev/characters/209
[],[],[],['Amigo to the Rescue'],[],[],[],210,Amigo,https://api.disneyapi.dev/characters/210
[],[],['The Lion Guard'],[],[],[],[],211,Aminifu,https://api.disneyapi.dev/characters/211
[],[],['The Owl House'],[],[],[],[],212,Amity Blight,https://api.disneyapi.dev/characters/212
"[""Pirates of the Caribbean: At World's End""]",[],[],"[""Pirates of the Caribbean: At World's End (video game)"", 'LEGO Pirates of the Caribbean: The Video Game']",[],[],[],213,Ammand the Corsair,https://api.disneyapi.dev/characters/213
['Leroy & Stitch'],[],"['Lilo & Stitch: The Series', 'Stitch!']",['Disney Tsum Tsum (game)'],"[""Stitch's Great Escape!""]",[],[],214,Amnesio,https://api.disneyapi.dev/characters/214
['Ben and Me'],[],[],[],[],[],[],215,Amos,https://api.disneyapi.dev/characters/215
[],[],['Hercules (TV series)'],[],[],[],[],216,Amphitrite,https://api.disneyapi.dev/characters/216
[],[],['DuckTales (2017 series)'],[],[],[],[],217,Amunet,https://api.disneyapi.dev/characters/217
[],[],['PJ Masks'],[],[],[],[],218,An Yu,https://api.disneyapi.dev/characters/218
['Pirates of the Caribbean: The Curse of the Black Pearl'],[],[],['LEGO Pirates of the Caribbean: The Video Game'],[],[],[],219,Anamaria,https://api.disneyapi.dev/characters/219
[],[],['Gargoyles'],[],[],[],[],220,Anansi,https://api.disneyapi.dev/characters/220
['Brother Bear 2'],[],[],[],[],[],[],221,Anda and Kata,https://api.disneyapi.dev/characters/221
[],[],['American Dragon: Jake Long'],[],[],[],[],222,Councilor Andam,https://api.disneyapi.dev/characters/222
['The Cat from Outer Space'],[],[],[],[],[],[],223,Captain Anderson,https://api.disneyapi.dev/characters/223
['Toy Story 4'],[],[],[],[],[],[],224,Mr. Anderson,https://api.disneyapi.dev/characters/224
[],[],['Sofia the First'],[],[],[],[],225,Chef Andre,https://api.disneyapi.dev/characters/225
"['Nikki, Wild Dog of the North']",[],[],[],[],[],[],226,Andre Dupas,https://api.disneyapi.dev/characters/226
[],[],['Quack Pack'],[],[],[],[],227,Andre's Cats,https://api.disneyapi.dev/characters/227
"['Air Bud', 'Air Bud: Golden Receiver', 'Air Bud: World Pup', 'Air Bud: Seventh Inning Fetch', 'Air Bud: Spikes Back', 'Air Buddies']",[],[],[],[],[],[],228,Andrea Framm,https://api.disneyapi.dev/characters/228
['Upside-Down Magic'],[],[],[],[],[],[],229,Andres Padillo,https://api.disneyapi.dev/characters/229
[],[],['Tangled: The Series'],[],[],[],[],230,Andrew,https://api.disneyapi.dev/characters/230
['The Princess Diaries 2: Royal Engagement'],[],[],[],[],[],[],231,Andrew Jacoby,https://api.disneyapi.dev/characters/231
['Let It Shine'],[],[],[],[],[],[],232,Roxanne Andrews,https://api.disneyapi.dev/characters/232
[],[],['Hercules: The Animated Series'],[],[],[],[],233,Andromeda,https://api.disneyapi.dev/characters/233
[],[],['Big City Greens'],[],[],[],[],234,Andromeda,https://api.disneyapi.dev/characters/234
['The Parent Trap'],[],[],[],[],[],[],235,Andromeda,https://api.disneyapi.dev/characters/235
['Planes: Fire & Rescue'],[],[],[],[],[],[],236,André,https://api.disneyapi.dev/characters/236
[],[],['Darkwing Duck'],[],[],[],[],237,Andy Ape,https://api.disneyapi.dev/characters/237
[],[],[],[],[],[],[],238,Andy Stanley,https://api.disneyapi.dev/characters/238
['Disney Princess Enchanted Tales: Follow Your Dreams'],[],[],[],[],[],[],239,Aneesa,https://api.disneyapi.dev/characters/239
[],[],['The Lion Guard'],[],[],[],[],240,Anga,https://api.disneyapi.dev/characters/240
[],[],[],[],[],[],[],241,Erica Ange,https://api.disneyapi.dev/characters/241
['Leroy & Stitch'],[],"['Lilo & Stitch: The Series', 'Stitch!']","['Lilo & Stitch 2: Hämsterviel Havoc', 'Stitch Jam', 'Stitch Jam 2', 'Disney Tsum Tsum (game)', 'Disney Magic Kingdoms', 'Disney Tsum Tsum Festival', 'Disney Getaway Blast', 'Disney Heroes: Battle Mode', 'Disney Emoji Blitz']","['Fantasmic!', ""Stitch's Great Escape!"", ""Halloween Pop'n LIVE""]",[],[],242,Angel,https://api.disneyapi.dev/characters/242
"[""Lady and the Tramp II: Scamp's Adventure""]",[],[],[],[],[],[],243,Angel,https://api.disneyapi.dev/characters/243
['Flubber'],"[""Donald's Better Self"", ""Donald's Decision""]",[],[],[],[],[],244,Angel Donald,https://api.disneyapi.dev/characters/244
[],[],['Gargoyles'],[],[],[],[],245,Angela,https://api.disneyapi.dev/characters/245
[],[],['Jessie (TV series)'],[],[],[],[],246,Angela,https://api.disneyapi.dev/characters/246
[],[],['Fish Hooks'],[],[],[],[],247,Angela,https://api.disneyapi.dev/characters/247
